Film Title,Character,Dialogue
Pocahontas,Ratcliffe,"Well, then go get him, for heaven’s sake!"
Pocahontas,Lon,What if we run into the Indians?
Pocahontas,Ratcliffe,"That’s what guns are for, now arm yourselves and get moving!"
Pocahontas,Powhatan,Pocahontas! You should be inside the village.
Pocahontas,Pocahontas,We’ll be all right.
Pocahontas,Nakoma,We’re gathering food for when the warriors arrive.
Pocahontas,Powhatan,Don’t go far. Now is not the time to be running off.
Pocahontas,Pocahontas,"Yes, father."
Pocahontas,Powhatan,"When I see you wear that necklace, you look just like your mother."
Pocahontas,Pocahontas,I miss her.
Pocahontas,Powhatan,"But she is still with us. Whenever the wind blows through the trees, I feel her presence. Our people looked to her for wisdom and strength. Someday, they will look to you as well."
Pocahontas,Pocahontas,I would be honored by that.
Pocahontas,Powhatan,You shouldn’t be out here alone. I’ll send for Kocoum. [Exits.]
Pocahontas,Pocahontas,What?
Pocahontas,Nakoma,You’re hiding something.
Pocahontas,Pocahontas,I’m not hiding anything.
Pocahontas,Nakoma,"Pocahontas, you can tell me, I promise I won’t tell anyone —"
Pocahontas,Nakoma,"[Gasp.] Pocahontas, look! It’s one of them! I’m going to get— [Pocahontas covers her mouth.]"
Pocahontas,Pocahontas,What are you doing here?
Pocahontas,Nakoma,Mmm?!
Pocahontas,John Smith,I had to see you again.
Pocahontas,Nakoma,Mmm!
Pocahontas,Kocoum,Pocahontas!
Pocahontas,Nakoma,Mmm!
Pocahontas,Kocoum,Pocahontas!
Pocahontas,Pocahontas,"Please, don’t say anything. Quick, this way."
Pocahontas,Nakoma,But—
Pocahontas,Kocoum,"Nakoma, where is Pocahontas?"
Pocahontas,Nakoma,I… I haven’t seen her.
Pocahontas,Kocoum,Pocahontas can’t keep running off. It’s dangerous out there. Tell her that. She listens to you.
Pocahontas,Nakoma,"Huh, sure she does."
Pocahontas,John Smith,"This place is incredible! And to think, we came all this way just to dig it up for gold."
Pocahontas,Pocahontas,Gold?
Pocahontas,John Smith,"Hey, Meeko."
Pocahontas,Pocahontas,What’s gold?
Pocahontas,John Smith,"You know, it’s… It’s yellow, comes out of the ground, it’s really valuable."
Pocahontas,Pocahontas,"Oh, here, we’ve lots of it. [Takes out an ear of corn.] Gold."
Pocahontas,John Smith,No… Gold is this. [Takes out a gold coin.]
Pocahontas,Pocahontas,"Hmm, there’s nothing like that around here."
Pocahontas,John Smith,No gold?
Pocahontas,Pocahontas,Not that I’ve seen.
Pocahontas,John Smith,[Laughs.] All this way for nothing. Those boys are in for a big surprise.
Pocahontas,Pocahontas,Will they leave?
Pocahontas,John Smith,Some of them might.
Pocahontas,Pocahontas,Will you go home?
Pocahontas,John Smith,"Well, it’s not like I have much of a home to go back to. I’ve never really belonged anywhere."
Pocahontas,Pocahontas,You could belong here.
Pocahontas,Wind Spirit,Ay ay ay na ay ay na…
Pocahontas,John Smith,What was that?
Pocahontas,Pocahontas,Did you see something?
Pocahontas,John Smith,"No… No, I just, uh… I… I didn’t see anything. Did I?"
Pocahontas,Pocahontas,Look again.
Pocahontas,Grandmother Willow,Let it break upon you
Pocahontas,John Smith,"Pocahontas, the tree is talking to me."
Pocahontas,Pocahontas,Then you should talk back.
Pocahontas,Grandmother Willow,"Don’t be frightened, young man. My bark is worse than my bite."
Pocahontas,Pocahontas,Say something.
Pocahontas,John Smith,What do you say to a tree?
Pocahontas,Pocahontas,Anything you want.
Pocahontas,John Smith,"So, uh…"
Pocahontas,Grandmother Willow,"Come closer, John Smith. He has a good soul. And he’s handsome, too."
Pocahontas,John Smith,"Oh, I like her."
Pocahontas,Pocahontas,I knew you would.
Pocahontas,John Smith,We can’t let them see us.
Pocahontas,Grandmother Willow,"Quick, over here."
Pocahontas,Lon,This place gives me the creeps. Savages could be hiding anywhere.
Pocahontas,Ben,"Aye, well, if you spot one, don’t ask questions. Just shoot."
Pocahontas,Ben,"Watch your feet, you big oaf!"
Pocahontas,Lon,"It wasn’t me, it was the tree."
Pocahontas,Ben,"Oh of course, the tree just felt like lifting its roots and… Let’s get out of here. Run!"
Pocahontas,Lon,But what about Smith?
Pocahontas,Ben,"He’s a big lad, he can take care of himself."
Pocahontas,John Smith,I’m glad you’re on our side.
Pocahontas,Grandmother Willow,There’s still some snap in these old vines.
Pocahontas,John Smith,I better get back before they send the whole camp out after me.
Pocahontas,Pocahontas,When will I see you again?
Pocahontas,John Smith,"Meet me tonight, right here. [Exits.]"
Pocahontas,Grandmother Willow,"Well, I haven’t had this much excitement in 200 years."
Pocahontas,Pocahontas,"What am I doing? I shouldn’t be seeing him again. I mean, I want to see him again—"
Pocahontas,Grandmother Willow,Who wouldn’t? I want to see him again.
Pocahontas,Pocahontas,"But still, something inside is telling me it’s the right thing."
Pocahontas,Grandmother Willow,Perhaps it’s your dream.
Pocahontas,Pocahontas,My dream? Do you think he’s the one the spinning arrow was pointing to?
Pocahontas,Grandmother Willow,Mm-hmm!
Pocahontas,Native American,The warriors are here!
Pocahontas,Nakoma,"Pocahontas, are you crazy? What were you doing with that—"
Pocahontas,Kocoum,There you are!
Pocahontas,Pocahontas,Kocoum!
Pocahontas,Kocoum,Look at them. Now we have enough warriors to destroy those white demons!
Pocahontas,Powhatan,"Now that we are joined by our brothers, we will defeat this enemy."
Pocahontas,Pocahontas,"Father, I need to speak with you."
Pocahontas,Powhatan,"Not now, my daughter. The council is gathering."
Pocahontas,Pocahontas,We don’t have to fight them! There must be a better way.
Pocahontas,Powhatan,Sometimes our paths are chosen for us.
Pocahontas,Pocahontas,But maybe we should try talking to them.
Pocahontas,Powhatan,They do not want to talk.
Pocahontas,Pocahontas,"But if one of them did want to talk, you would listen to him, wouldn’t you?"
Pocahontas,Powhatan,Pocahontas—
Pocahontas,Pocahontas,Wouldn’t you?
Pocahontas,Powhatan,Of course I would. But it is not that simple. Nothing is simple anymore.
Pocahontas,John Smith,"Easy, Thomas. It’s me."
Pocahontas,Thomas,"Oh, John! I could’ve killed you!"
Pocahontas,John Smith,"Not aiming like that, you couldn’t. Keep both eyes open when you shoot. You’ll see twice as well."
Pocahontas,Ben,Smith! There ya are!
Pocahontas,Lon,We were looking all over for you.
Pocahontas,Ratcliffe,Smith! Where have you been?
Pocahontas,John Smith,"I was out scouting the terrain, sir."
Pocahontas,Ratcliffe,Excellent. Then you must know the Indians’ whereabouts. We’ll need that information for the battle.
Pocahontas,John Smith,What battle?
Pocahontas,Ratcliffe,We will eliminate these savages once and for all.
Pocahontas,John Smith,No! You can’t do that!
Pocahontas,John Smith,"Look, we don’t have to fight them."
Pocahontas,Thomas,"John, what’s gotten into you?"
Pocahontas,John Smith,I met one of them.
Pocahontas,Ben,You what?
Pocahontas,Thomas,A savage?
Pocahontas,John Smith,"They’re not savages, they can help us. They know the land, they know how to navigate the rivers. And, look! It’s food!"
Pocahontas,Lon,What is it?
Pocahontas,John Smith,"It’s better than hardtack and gruel, that’s for sure."
Pocahontas,Wiggins,I like gruel.
